"DATE","TIMESTAMP","VALUE","SERIES","UNIT","SOURCE","TIME_UNIT"
"2021-07-29T22:00:00 UTC",1627596000,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2021-07-29T22:15:00 UTC",1627596900,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2021-07-29T22:30:00 UTC",1627597800,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2021-07-29T22:45:00 UTC",1627598700,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2021-07-29T23:00:00 UTC",1627599600,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2021-07-29T23:15:00 UTC",1627600500,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2021-07-29T23:30:00 UTC",1627601400,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2021-07-29T23:45:00 UTC",1627602300,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2021-07-30T00:00:00 UTC",1627603200,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2021-07-30T00:15:00 UTC",1627604100,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2021-07-30T00:30:00 UTC",1627605000,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2021-07-30T00:45:00 UTC",1627605900,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2021-07-30T01:00:00 UTC",1627606800,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2021-07-30T01:15:00 UTC",1627607700,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2021-07-30T01:30:00 UTC",1627608600,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2021-07-30T01:45:00 UTC",1627609500,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2021-07-30T02:00:00 UTC",1627610400,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2021-07-30T02:15:00 UTC",1627611300,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2021-07-30T02:30:00 UTC",1627612200,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2021-07-30T02:45:00 UTC",1627613100,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2021-07-30T03:00:00 UTC",1627614000,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2021-07-30T03:15:00 UTC",1627614900,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2021-07-30T03:30:00 UTC",1627615800,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2021-07-30T03:45:00 UTC",1627616700,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2021-07-30T04:00:00 UTC",1627617600,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2021-07-30T04:15:00 UTC",1627618500,3,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2021-07-30T04:30:00 UTC",1627619400,24,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2021-07-30T04:45:00 UTC",1627620300,28,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2021-07-30T05:00:00 UTC",1627621200,44,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2021-07-30T05:15:00 UTC",1627622100,58,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2021-07-30T05:30:00 UTC",1627623000,82,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2021-07-30T05:45:00 UTC",1627623900,186,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2021-07-30T06:00:00 UTC",1627624800,281,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2021-07-30T06:15:00 UTC",1627625700,188,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2021-07-30T06:30:00 UTC",1627626600,216,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2021-07-30T06:45:00 UTC",1627627500,287,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2021-07-30T07:00:00 UTC",1627628400,432,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2021-07-30T07:15:00 UTC",1627629300,408,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2021-07-30T07:30:00 UTC",1627630200,355,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2021-07-30T07:45:00 UTC",1627631100,353,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2021-07-30T08:00:00 UTC",1627632000,650,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2021-07-30T08:15:00 UTC",1627632900,682,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2021-07-30T08:30:00 UTC",1627633800,769,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
