"DATE","TIMESTAMP","VALUE","SERIES","UNIT","SOURCE","TIME_UNIT"
"2022-11-20T23:00:00 UTC",1668985200,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2022-11-20T23:15:00 UTC",1668986100,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2022-11-20T23:30:00 UTC",1668987000,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2022-11-20T23:45:00 UTC",1668987900,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2022-11-21T00:00:00 UTC",1668988800,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2022-11-21T00:15:00 UTC",1668989700,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2022-11-21T00:30:00 UTC",1668990600,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2022-11-21T00:45:00 UTC",1668991500,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2022-11-21T01:00:00 UTC",1668992400,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2022-11-21T01:15:00 UTC",1668993300,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2022-11-21T01:30:00 UTC",1668994200,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2022-11-21T01:45:00 UTC",1668995100,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2022-11-21T02:00:00 UTC",1668996000,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2022-11-21T02:15:00 UTC",1668996900,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2022-11-21T02:30:00 UTC",1668997800,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2022-11-21T02:45:00 UTC",1668998700,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2022-11-21T03:00:00 UTC",1668999600,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2022-11-21T03:15:00 UTC",1669000500,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2022-11-21T03:30:00 UTC",1669001400,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2022-11-21T03:45:00 UTC",1669002300,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2022-11-21T04:00:00 UTC",1669003200,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2022-11-21T04:15:00 UTC",1669004100,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2022-11-21T04:30:00 UTC",1669005000,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2022-11-21T04:45:00 UTC",1669005900,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2022-11-21T05:00:00 UTC",1669006800,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2022-11-21T05:15:00 UTC",1669007700,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2022-11-21T05:30:00 UTC",1669008600,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2022-11-21T05:45:00 UTC",1669009500,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2022-11-21T06:00:00 UTC",1669010400,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2022-11-21T06:15:00 UTC",1669011300,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2022-11-21T06:30:00 UTC",1669012200,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2022-11-21T06:45:00 UTC",1669013100,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2022-11-21T07:00:00 UTC",1669014000,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2022-11-21T07:15:00 UTC",1669014900,12.563485,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2022-11-21T07:30:00 UTC",1669015800,87.17131,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2022-11-21T07:45:00 UTC",1669016700,153.5745,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2022-11-21T08:00:00 UTC",1669017600,256.71313,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2022-11-21T08:15:00 UTC",1669018500,348.2615,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2022-11-21T08:30:00 UTC",1669019400,429.2867,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2022-11-21T08:45:00 UTC",1669020300,724.27466,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2022-11-21T09:00:00 UTC",1669021200,911.5699,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2022-11-21T09:15:00 UTC",1669022100,705.2627,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2022-11-21T09:30:00 UTC",1669023000,713.6971,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2022-11-21T09:45:00 UTC",1669023900,735.2448,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2022-11-21T10:00:00 UTC",1669024800,1245.0579,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2022-11-21T10:15:00 UTC",1669025700,1305.6317,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2022-11-21T10:30:00 UTC",1669026600,1005.4769,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2022-11-21T10:45:00 UTC",1669027500,571.15106,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2022-11-21T11:00:00 UTC",1669028400,360.15216,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2022-11-21T11:15:00 UTC",1669029300,376.30447,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2022-11-21T11:30:00 UTC",1669030200,351.3219,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2022-11-21T11:45:00 UTC",1669031100,564.86664,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2022-11-21T12:00:00 UTC",1669032000,680.9426,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2022-11-21T12:15:00 UTC",1669032900,554.2234,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2022-11-21T12:30:00 UTC",1669033800,501.75867,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
