"DATE","TIMESTAMP","VALUE","SERIES","UNIT","SOURCE","TIME_UNIT"
"2023-11-10T23:00:00 UTC",1699657200,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2023-11-10T23:15:00 UTC",1699658100,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2023-11-10T23:30:00 UTC",1699659000,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2023-11-10T23:45:00 UTC",1699659900,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2023-11-11T00:00:00 UTC",1699660800,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2023-11-11T00:15:00 UTC",1699661700,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2023-11-11T00:30:00 UTC",1699662600,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2023-11-11T00:45:00 UTC",1699663500,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2023-11-11T01:00:00 UTC",1699664400,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2023-11-11T01:15:00 UTC",1699665300,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2023-11-11T01:30:00 UTC",1699666200,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2023-11-11T01:45:00 UTC",1699667100,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2023-11-11T02:00:00 UTC",1699668000,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2023-11-11T02:15:00 UTC",1699668900,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2023-11-11T02:30:00 UTC",1699669800,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2023-11-11T02:45:00 UTC",1699670700,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2023-11-11T03:00:00 UTC",1699671600,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2023-11-11T03:15:00 UTC",1699672500,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2023-11-11T03:30:00 UTC",1699673400,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2023-11-11T03:45:00 UTC",1699674300,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2023-11-11T04:00:00 UTC",1699675200,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2023-11-11T04:15:00 UTC",1699676100,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2023-11-11T04:30:00 UTC",1699677000,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2023-11-11T04:45:00 UTC",1699677900,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2023-11-11T05:00:00 UTC",1699678800,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2023-11-11T05:15:00 UTC",1699679700,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2023-11-11T05:30:00 UTC",1699680600,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2023-11-11T05:45:00 UTC",1699681500,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2023-11-11T06:00:00 UTC",1699682400,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2023-11-11T06:15:00 UTC",1699683300,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2023-11-11T06:30:00 UTC",1699684200,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2023-11-11T06:45:00 UTC",1699685100,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2023-11-11T07:00:00 UTC",1699686000,7,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2023-11-11T07:15:00 UTC",1699686900,29,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2023-11-11T07:30:00 UTC",1699687800,54,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2023-11-11T07:45:00 UTC",1699688700,82,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2023-11-11T08:00:00 UTC",1699689600,130,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2023-11-11T08:15:00 UTC",1699690500,115,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2023-11-11T08:30:00 UTC",1699691400,118,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2023-11-11T08:45:00 UTC",1699692300,97,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2023-11-11T09:00:00 UTC",1699693200,87,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2023-11-11T09:15:00 UTC",1699694100,139,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2023-11-11T09:30:00 UTC",1699695000,115,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2023-11-11T09:45:00 UTC",1699695900,196,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
