"DATE","TIMESTAMP","VALUE","SERIES","UNIT","SOURCE","TIME_UNIT"
"2022-02-22T23:00:00 UTC",1645570800,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2022-02-22T23:15:00 UTC",1645571700,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2022-02-22T23:30:00 UTC",1645572600,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2022-02-22T23:45:00 UTC",1645573500,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2022-02-23T00:00:00 UTC",1645574400,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2022-02-23T00:15:00 UTC",1645575300,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2022-02-23T00:30:00 UTC",1645576200,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2022-02-23T00:45:00 UTC",1645577100,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2022-02-23T01:00:00 UTC",1645578000,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2022-02-23T01:15:00 UTC",1645578900,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2022-02-23T01:30:00 UTC",1645579800,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2022-02-23T01:45:00 UTC",1645580700,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2022-02-23T02:00:00 UTC",1645581600,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2022-02-23T02:15:00 UTC",1645582500,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2022-02-23T02:30:00 UTC",1645583400,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2022-02-23T02:45:00 UTC",1645584300,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2022-02-23T03:00:00 UTC",1645585200,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2022-02-23T03:15:00 UTC",1645586100,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2022-02-23T03:30:00 UTC",1645587000,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2022-02-23T03:45:00 UTC",1645587900,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2022-02-23T04:00:00 UTC",1645588800,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
"2022-02-23T04:15:00 UTC",1645589700,0,"power","W","INVERTER","QUARTER_OF_AN_HOUR"
