"DATE","TIMESTAMP","VALUE","SERIES","UNIT","SOURCE","TIME_UNIT"
"2019-11-30T23:00:00Z",1575154800,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2019-11-30T23:15:00Z",1575155700,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2019-11-30T23:30:00Z",1575156600,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2019-11-30T23:45:00Z",1575157500,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2019-12-01T00:00:00Z",1575158400,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2019-12-01T00:15:00Z",1575159300,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2019-12-01T00:30:00Z",1575160200,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2019-12-01T00:45:00Z",1575161100,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2019-12-01T01:00:00Z",1575162000,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2019-12-01T01:15:00Z",1575162900,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2019-12-01T01:30:00Z",1575163800,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2019-12-01T01:45:00Z",1575164700,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2019-12-01T02:00:00Z",1575165600,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2019-12-01T02:15:00Z",1575166500,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2019-12-01T02:30:00Z",1575167400,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2019-12-01T02:45:00Z",1575168300,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2019-12-01T03:00:00Z",1575169200,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2019-12-01T03:15:00Z",1575170100,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2019-12-01T03:30:00Z",1575171000,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2019-12-01T03:45:00Z",1575171900,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2019-12-01T04:00:00Z",1575172800,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2019-12-01T04:15:00Z",1575173700,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2019-12-01T04:30:00Z",1575174600,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2019-12-01T04:45:00Z",1575175500,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2019-12-01T05:00:00Z",1575176400,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2019-12-01T05:15:00Z",1575177300,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2019-12-01T05:30:00Z",1575178200,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2019-12-01T05:45:00Z",1575179100,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2019-12-01T06:00:00Z",1575180000,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2019-12-01T06:15:00Z",1575180900,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2019-12-01T06:30:00Z",1575181800,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2019-12-01T06:45:00Z",1575182700,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
