"DATE","TIMESTAMP","VALUE","SERIES","UNIT","SOURCE","TIME_UNIT"
"2020-07-31T22:00:00 UTC",1596232800,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-07-31T22:15:00 UTC",1596233700,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-07-31T22:30:00 UTC",1596234600,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-07-31T22:45:00 UTC",1596235500,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-07-31T23:00:00 UTC",1596236400,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-07-31T23:15:00 UTC",1596237300,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-07-31T23:30:00 UTC",1596238200,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-07-31T23:45:00 UTC",1596239100,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-08-01T00:00:00 UTC",1596240000,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-08-01T00:15:00 UTC",1596240900,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-08-01T00:30:00 UTC",1596241800,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-08-01T00:45:00 UTC",1596242700,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-08-01T01:00:00 UTC",1596243600,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-08-01T01:15:00 UTC",1596244500,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-08-01T01:30:00 UTC",1596245400,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-08-01T01:45:00 UTC",1596246300,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-08-01T02:00:00 UTC",1596247200,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-08-01T02:15:00 UTC",1596248100,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-08-01T02:30:00 UTC",1596249000,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-08-01T02:45:00 UTC",1596249900,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-08-01T03:00:00 UTC",1596250800,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-08-01T03:15:00 UTC",1596251700,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-08-01T03:30:00 UTC",1596252600,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-08-01T03:45:00 UTC",1596253500,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-08-01T04:00:00 UTC",1596254400,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-08-01T04:15:00 UTC",1596255300,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-08-01T04:30:00 UTC",1596256200,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-08-01T04:45:00 UTC",1596257100,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-08-01T05:00:00 UTC",1596258000,13,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-08-01T05:15:00 UTC",1596258900,35,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-08-01T05:30:00 UTC",1596259800,57,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-08-01T05:45:00 UTC",1596260700,74,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-08-01T06:00:00 UTC",1596261600,99,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-08-01T06:15:00 UTC",1596262500,135,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-08-01T06:30:00 UTC",1596263400,108,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-08-01T06:45:00 UTC",1596264300,223,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-08-01T07:00:00 UTC",1596265200,397,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-08-01T07:15:00 UTC",1596266100,361,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-08-01T07:30:00 UTC",1596267000,498,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-08-01T07:45:00 UTC",1596267900,548,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-08-01T08:00:00 UTC",1596268800,539,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-08-01T08:15:00 UTC",1596269700,520,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-08-01T08:30:00 UTC",1596270600,440,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-08-01T08:45:00 UTC",1596271500,556,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2020-08-01T09:00:00 UTC",1596272400,441,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
