"DATE","TIMESTAMP","VALUE","SERIES","UNIT","SOURCE","TIME_UNIT"
"2023-11-20T23:00:00 UTC",1700521200,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2023-11-20T23:15:00 UTC",1700522100,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2023-11-20T23:30:00 UTC",1700523000,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2023-11-20T23:45:00 UTC",1700523900,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2023-11-21T00:00:00 UTC",1700524800,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2023-11-21T00:15:00 UTC",1700525700,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2023-11-21T00:30:00 UTC",1700526600,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2023-11-21T00:45:00 UTC",1700527500,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2023-11-21T01:00:00 UTC",1700528400,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2023-11-21T01:15:00 UTC",1700529300,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2023-11-21T01:30:00 UTC",1700530200,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2023-11-21T01:45:00 UTC",1700531100,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2023-11-21T02:00:00 UTC",1700532000,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2023-11-21T02:15:00 UTC",1700532900,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2023-11-21T02:30:00 UTC",1700533800,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2023-11-21T02:45:00 UTC",1700534700,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
"2023-11-21T03:00:00 UTC",1700535600,0,"energy","Wh","INVERTER","QUARTER_OF_AN_HOUR"
